# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_02185	19	99	15	201	0.001000	NE
cds_SP5448_02190	0	60	60	768	0.994000	E
cds_SP5448_02195	8	45	22	292	0.146000	U
cds_SP5448_02200	0	4	4	41	-1.000000	S
cds_SP5448_02205	13	72	13	211	0.001000	NE
cds_SP5448_02210	8	50	20	282	0.073000	U
cds_SP5448_02215	10	34	9	134	0.001000	NE
cds_SP5448_02220	1	24	13	176	0.001000	NE
cds_SP5448_02230	4	31	13	146	0.001000	NE
cds_SP5448_02235	2	12	6	66	0.000000	NE
cds_SP5448_02240	0	18	18	265	0.958000	U
cds_SP5448_02250	1	13	12	168	0.788000	U
cds_SP5448_02255	3	23	16	279	0.225000	U
cds_SP5448_02265	0	18	18	178	0.951000	U
cds_SP5448_02270	0	13	13	289	0.943000	U
cds_SP5448_02275	6	77	20	316	0.107000	U
cds_SP5448_02280	2	37	18	186	0.001000	NE
cds_SP5448_02285	3	39	14	179	0.001000	NE
cds_SP5448_02290	14	130	29	510	0.179000	U
cds_SP5448_02295	19	177	49	646	0.770000	U
cds_SP5448_02300	0	12	12	235	0.920000	U
cds_SP5448_02305	11	93	15	190	0.001000	NE
cds_SP5448_02315	3	25	8	56	0.001000	NE
cds_SP5448_02320	13	70	17	217	0.001000	NE
cds_SP5448_02325	4	17	6	85	0.002000	NE
cds_SP5448_02330	6	32	11	129	0.001000	NE
cds_SP5448_02335	4	31	12	140	0.001000	NE
cds_SP5448_02340	19	108	11	129	0.001000	NE
cds_SP5448_02345	33	131	19	202	0.001000	NE
cds_SP5448_02350	25	119	22	246	0.001000	NE
cds_SP5448_02355	5	19	6	74	0.000000	NE
cds_SP5448_02360	6	17	5	167	0.000000	NE
cds_SP5448_02365	2	30	16	189	0.001000	NE
cds_SP5448_02370	10	61	18	303	0.071000	U
cds_SP5448_02375	4	31	9	98	0.001000	NE
cds_SP5448_02380	6	25	16	223	0.097000	U
cds_SP5448_02385	10	30	7	93	0.000000	NE
cds_SP5448_02390	2	36	33	331	0.968000	U
cds_SP5448_02395	7	45	7	87	0.000000	NE
cds_SP5448_02400	2	25	18	315	0.507000	U
cds_SP5448_02405	6	26	12	102	0.001000	NE
cds_SP5448_02410	56	316	23	389	0.018000	NE
cds_SP5448_02415	19	78	8	71	0.000000	NE
cds_SP5448_02420	24	148	21	199	0.001000	NE
cds_SP5448_02425	14	80	15	228	0.001000	NE
cds_SP5448_02430	18	59	14	232	0.001000	NE
cds_SP5448_02435	25	131	13	160	0.001000	NE
